area,lat,lon
Melbourne (CBD),-37.81635789,144.96837507
Melbourne (CBD),-37.81543505,144.971222799
Melbourne (CBD),-37.81556733,144.970964282
Melbourne (CBD),-37.81560645,144.970834339
Melbourne (CBD),-37.81568875,144.970399793
Melbourne (CBD),-37.81600001,144.971154413
Melbourne (CBD),-37.8161284,144.970291127
Melbourne (CBD),-37.81489475,144.9732924
Melbourne (CBD),-37.81494022,144.97313454
Melbourne (CBD),-37.81936788,144.955210528
Melbourne (CBD),-37.81970047,144.954883047
Melbourne (CBD),-37.81853877,144.958118475
Melbourne (CBD),-37.81918367,144.957322132
Melbourne (CBD),-37.81739636,144.961222873
Melbourne (CBD),-37.8180082,144.959868643
Melbourne (CBD),-37.81758572,144.962188519
Melbourne (CBD),-37.81719967,144.963897021
Melbourne (CBD),-37.81602805,144.966088099
Melbourne (CBD),-37.81492031,144.970749785
Melbourne (CBD),-37.81468591,144.970259785
Melbourne (CBD),-37.81473508,144.970007274
Melbourne (CBD),-37.81372701,144.973720068
Melbourne (CBD),-37.81430615,144.972628037
Melbourne (CBD),-37.81867544,144.954350485
Melbourne (CBD),-37.81787118,144.955443941
Melbourne (CBD),-37.81802782,144.954905366
Melbourne (CBD),-37.81818484,144.954365839
Melbourne (CBD),-37.81767359,144.956834754
Melbourne (CBD),-37.81669009,144.960642239
Melbourne (CBD),-37.8169991,144.96031189
Melbourne (CBD),-37.8162783,144.960451922
Melbourne (CBD),-37.81614776,144.960847599
Melbourne (CBD),-37.81629382,144.961718566
Melbourne (CBD),-37.81601764,144.962688973
Melbourne (CBD),-37.81482941,144.965885145
Melbourne (CBD),-37.81479918,144.967453704
Melbourne (CBD),-37.81450301,144.967847532
Melbourne (CBD),-37.81360963,144.970722603
Melbourne (CBD),-37.8136886,144.969767558
Melbourne (CBD),-37.81346244,144.972472392
Melbourne (CBD),-37.8129051,144.972706442
Melbourne (CBD),-37.81279876,144.972393222
Melbourne (CBD),-37.81309819,144.971695294
Melbourne (CBD),-37.81677365,144.955552859
Melbourne (CBD),-37.81738969,144.953751967
Melbourne (CBD),-37.81636534,144.957813206
Melbourne (CBD),-37.81647428,144.957017939
Melbourne (CBD),-37.81695942,144.956773974
Melbourne (CBD),-37.81547268,144.96018858
Melbourne (CBD),-37.81549904,144.960540869
Melbourne (CBD),-37.81595642,144.958939222
Melbourne (CBD),-37.81556194,144.961530561
Melbourne (CBD),-37.81551671,144.962020616
Melbourne (CBD),-37.81528248,144.962638812
Melbourne (CBD),-37.81534186,144.961620956
Melbourne (CBD),-37.81386024,144.965407423
Melbourne (CBD),-37.81423669,144.965235638
Melbourne (CBD),-37.81407743,144.965582724
Melbourne (CBD),-37.81316936,144.96776365
Melbourne (CBD),-37.81384227,144.96715672
Melbourne (CBD),-37.81390779,144.967580615
Melbourne (CBD),-37.81280567,144.968972072
Melbourne (CBD),-37.81294598,144.968563153
Melbourne (CBD),-37.81296416,144.96849715
Melbourne (CBD),-37.81298798,144.96841676
Melbourne (CBD),-37.81302823,144.969254282
Melbourne (CBD),-37.81350285,144.968975222
Melbourne (CBD),-37.81217956,144.97104042
Melbourne (CBD),-37.81257803,144.971175434
Melbourne (CBD),-37.81246632,144.971918925
Melbourne (CBD),-37.81589843,144.955174248
Melbourne (CBD),-37.81579101,144.955124838
Melbourne (CBD),-37.81569596,144.95508151
Melbourne (CBD),-37.81571392,144.95610726
Melbourne (CBD),-37.81531863,144.957392295
Melbourne (CBD),-37.81527349,144.958386484
Melbourne (CBD),-37.81506553,144.95946409
Melbourne (CBD),-37.81430686,144.959659009
Melbourne (CBD),-37.81456798,144.959044223
Melbourne (CBD),-37.81467989,144.960224297
Melbourne (CBD),-37.81452036,144.959985646
Melbourne (CBD),-37.81416355,144.961756204
Melbourne (CBD),-37.81411399,144.962638938
Melbourne (CBD),-37.81353263,144.962170953
Melbourne (CBD),-37.81358648,144.961992587
Melbourne (CBD),-37.81377588,144.961462944
Melbourne (CBD),-37.81379622,144.961393663
Melbourne (CBD),-37.81379747,144.962388635
Melbourne (CBD),-37.81330938,144.964398413
Melbourne (CBD),-37.81309229,144.964999303
Melbourne (CBD),-37.81291316,144.966737509
